timestamp,event_ticker,market_ticker,yes_price,no_price
,KXUSOMENSINGLES-25,KXUSOMENSINGLES-25-CA,,
,KXUSOMENSINGLES-25,KXUSOMENSINGLES-25-ND,,
,KXUSOMENSINGLES-25,KXUSOMENSINGLES-25-AZ,,
,KXUSOMENSINGLES-25,KXUSOMENSINGLES-25-DM,,
,KXUSOMENSINGLES-25,KXUSOMENSINGLES-25-TF,,
,KXUSOMENSINGLES-25,KXUSOMENSINGLES-25-JF,,
,KXUSOMENSINGLES-25,KXUSOMENSINGLES-25-JD,,
,KXUSOMENSINGLES-25,KXUSOMENSINGLES-25-BS,,
,KXUSOMENSINGLES-25,KXUSOMENSINGLES-25-HR,,
,KXUSOMENSINGLES-25,KXUSOMENSINGLES-25-FT,,
,KXUSOMENSINGLES-25,KXUSOMENSINGLES-25-CR,,
,KXUSOMENSINGLES-25,KXUSOMENSINGLES-25-ST,,
,KXUSOMENSINGLES-25,KXUSOMENSINGLES-25-ADM,,
,KXUSOMENSINGLES-25,KXUSOMENSINGLES-25-TP,,
,KXTHEOPEN-25,KXTHEOPEN-25-SS,,
,KXTHEOPEN-25,KXTHEOPEN-25-RM,,
,KXTHEOPEN-25,KXTHEOPEN-25-XS,,
,KXTHEOPEN-25,KXTHEOPEN-25-BD,,
,KXTHEOPEN-25,KXTHEOPEN-25-LA,,
,KXTHEOPEN-25,KXTHEOPEN-25-JR,,
,KXTHEOPEN-25,KXTHEOPEN-25-CM,,
,KXTHEOPEN-25,KXTHEOPEN-25-TH,,
,KXTHEOPEN-25,KXTHEOPEN-25-TF,,
,KXTHEOPEN-25,KXTHEOPEN-25-RMAC,,
,KXTHEOPEN-25,KXTHEOPEN-25-VH,,
,KXTHEOPEN-25,KXTHEOPEN-25-BK,,
,KXTHEOPEN-25,KXTHEOPEN-25-SL,,
,KXTHEOPEN-25,KXTHEOPEN-25-JS,,
,KXTHEOPEN-25,KXTHEOPEN-25-JT,,
,KXTHEOPEN-25,KXTHEOPEN-25-SEPPS,,
,KXWMENSINGLES-25,KXWMENSINGLES-25-JS,,
,KXWMENSINGLES-25,KXWMENSINGLES-25-AZ,,
,KXWMENSINGLES-25,KXWMENSINGLES-25-CA,,
,KXWMENSINGLES-25,KXWMENSINGLES-25-ND,,
,KXWMENSINGLES-25,KXWMENSINGLES-25-DM,,
,KXWMENSINGLES-25,KXWMENSINGLES-25-LM,,
,KXWMENSINGLES-25,KXWMENSINGLES-25-ADM,,
,KXWMENSINGLES-25,KXWMENSINGLES-25-TF,,
,KXWMENSINGLES-25,KXWMENSINGLES-25-HH,,
,KXWMENSINGLES-25,KXWMENSINGLES-25-GD,,
,KXNBA-25,KXNBA-25-ATL,,
,KXNBA-25,KXNBA-25-BOS,,
,KXNBA-25,KXNBA-25-BKN,,
,KXNBA-25,KXNBA-25-CHA,,
,KXNBA-25,KXNBA-25-CHI,,
,KXNBA-25,KXNBA-25-CLE,,
,KXNBA-25,KXNBA-25-DAL,,
,KXNBA-25,KXNBA-25-DEN,,
,KXNBA-25,KXNBA-25-DET,,
,KXNBA-25,KXNBA-25-GSW,,
,KXNBA-25,KXNBA-25-HOU,,
,KXNBA-25,KXNBA-25-IND,,
,KXNBA-25,KXNBA-25-LAC,,
,KXNBA-25,KXNBA-25-LAL,,
,KXNBA-25,KXNBA-25-MEM,,
,KXNBA-25,KXNBA-25-MIA,,
,KXNBA-25,KXNBA-25-MIL,,
,KXNBA-25,KXNBA-25-MIN,,
,KXNBA-25,KXNBA-25-NOP,,
,KXNBA-25,KXNBA-25-NYK,,
,KXNBA-25,KXNBA-25-OKC,,
,KXNBA-25,KXNBA-25-ORL,,
,KXNBA-25,KXNBA-25-PHI,,
,KXNBA-25,KXNBA-25-PHX,,
,KXNBA-25,KXNBA-25-POR,,
,KXNBA-25,KXNBA-25-SAC,,
,KXNBA-25,KXNBA-25-SAS,,
,KXNBA-25,KXNBA-25-TOR,,
,KXNBA-25,KXNBA-25-UTA,,
,KXNBA-25,KXNBA-25-WAS,,
,KXNHL-25,KXNHL-25-ANA,,
,KXNHL-25,KXNHL-25-UHC,,
,KXNHL-25,KXNHL-25-BOS,,
,KXNHL-25,KXNHL-25-BUF,,
,KXNHL-25,KXNHL-25-CGY,,
,KXNHL-25,KXNHL-25-CAR,,
,KXNHL-25,KXNHL-25-CHI,,
,KXNHL-25,KXNHL-25-COL,,
,KXNHL-25,KXNHL-25-CBJ,,
,KXNHL-25,KXNHL-25-DAL,,
,KXNHL-25,KXNHL-25-DET,,
